Symbol,ISIN
ABE.MDR,None
AMAT,US0382221051
AMZN,US0231351067
ASML.AMS,NL0010273215
ATVI,US00507V1098
BAS.DEX,DE000BASF111
BHP,GB00BH0P3Z91
BME.MDR,ES0115056139
BMW.DEX,DE0005190003
BT-A.LON,GB0030913577
CABK.MDR,ES0140609019
CS.PAR,FR0000120628
CSCO,US17275R1023
DGE.LON,GB0002374006
DIS,US2546871060
DSY.PAR,FR0000130650
ELE.MDR,ES0130670112
GILD,US3755581036
GOOG,US02079K3059
HEN.DEX,DE0006048408
ITX.MDR,ES0148396007
JDG.LON,GB0032398678
JNJ,US4781601046
LAZ,BMG540501027
LBTYA,GB00B8W67B19
MMM,US88579Y1010
MO,US02209S1033
NG.LON,GB00BDR05C01
NTGY.MDR,ES0116870314
NVDA,US67066G1040
PFE,US7170811035
RB.LON,GB00B24CGK77
RCH.LON,GB0009039941
REE.MDR,ES0173093024
RH,US74967X1037
RIO.LON,GB0007188757
RNO.PAR,FR0000131906
SBUX,US8552441094
SRT.DEX,DE0007165607
SSE.LON,GB0007908733
ULVR.LON,GB00B10RZP78
URW.AMS,FR0013326246
SGO.PAR,FR0000125007
TSLA,US88160R1014
EVR.LON,GB00B71N6K86
UTX,US9130171096
RNSDF,FR0000131906
ITW,US4523081093
XOM,US30231G1022
RIO,US7672041008
LMT,US5398301094
